listing_id,rent_amount,rent_frequency,rent_text,rent_amount_pcm,rent_amount_pw,location,postcode,listing_url,image_url,image_count,floorplan_count,virtual_tour_count,property_type,bedrooms,bathrooms,let_available_date,listing_status,tenure,students,online_viewings_available,build_to_rent,latitude,longitude,summary,featured,position_on_page,source_page_index
172432907,2700,pcm,"£2,700 pcm",,,"Fountain Park Way, London, W12",,https://www.rightmove.co.uk/properties/172432907,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/5c1587571/172432907/5c1587571b7b35bd5b61b8a3911d981c_max_476x317.jpeg,,,,Apartment,1,1,,,,,,,,,"Luxurious 1 Bed, 1 Bath Apartment in White City Living. Private balcony, Leisure Facilities. Close to transport and amenities. A celebrity lifestyle opportunity in prestigious development.",True,1,0
173647193,4199,pcm,"£4,199 pcm",4199,969,"White City Living, Cassini Apartments, Cascade Way, White City W12",,https://www.rightmove.co.uk/properties/173647193,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/72b98de31/173647193/72b98de31bbc3af73d837710bcc931c0_max_476x317.jpeg,36,1,0,Apartment,2,2,2026-04-23T00:00:00Z,new,,False,False,False,51.51174,-0.22157,An impeccable 2 double bedroom apartment set in White City Living within the heart of Shepherds Bush. The property is located close to the Westfield Shopping Centre and 2-minutes walk from White City & Wood Lane underground stations. EPC-B,True,2,0
173632232,2650,pcm,"£2,650 pcm",2650,612,"Westmont Apartments, Fountain Park Way, LONDON, W12",,https://www.rightmove.co.uk/properties/173632232,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/e67e6e27b/173632232/e67e6e27b13a84bf1807a38bb8260607_max_476x317.jpeg,13,1,1,Apartment,1,1,2026-06-01T00:00:00Z,new,,False,False,False,51.510955,-0.223292,"White City Living | 1B1B | Gym | Spa | Swimming pool Experience contemporary city living in this modern one-bedroom apartment at Westmont Apartments, offering luxurious amenities and a prime location just moments from Westfield London and White City Station. The apartment featur...",False,3,0
171647267,2496,pcm,"£2,496 pcm",2496,576,"Bloemfontein Road, Shepherds Bush",,https://www.rightmove.co.uk/properties/171647267,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/c5894e41a/171647267/c5894e41a91a98110252b6b53b3ad836_max_476x317.jpeg,7,1,0,Flat,2,2,,price_reduced,,False,False,False,51.510937,-0.235265,"Located on the third floor of this popular development is this large two double bedroom, two bathroom flat. It offers a bright and spacious lounge leading onto a large private balcony.",False,4,0
87729816,2189,pcm,"£2,189 pcm",2189,505,"Du Cane Road, London, W12",,https://www.rightmove.co.uk/properties/87729816,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/dc6748c26/87729816/dc6748c26fe1f24b068ee71f099ee09f_max_476x317.jpeg,14,0,0,Flat,2,1,2026-05-20T00:00:00Z,new,,False,False,False,51.51651,-0.228833,A two bedroom flat (fully furnished) is available in a well located west end development near the White City/Wood Lane station close to the Hammersmith Hospital. This is a sunny flat (with a bal... ** Property Reference: 2836241 **,False,5,0
87727533,3100,pcm,"£3,100 pcm",3100,715,"Waterway House, London NW10",,https://www.rightmove.co.uk/properties/87727533,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/f56674ecb/87727533/f56674ecb223877b610d8f8291bdd545_max_476x317.jpeg,11,1,1,Apartment,3,2,,new,,False,False,False,51.520233,-0.228521,"Lifestyle-led. 4 WEEKS RENT FREE | ZERO DEPOSIT OPTION | Welcome to luxury living in North Kensington. Exclusive apartments finished to an exceptional standard, with 24-hour concierge, a residents' gym equipped with Technogym, spectacular roof terraces, and car parking from £70pcm - everything yo...",False,6,0
87720492,4000,pcm,"£4,000 pcm",4000,923,"White City Living, Belvedere Row Apartments, Fountain Park Way, White City, W12",,https://www.rightmove.co.uk/properties/87720492,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/d27b5f2b2/87720492/d27b5f2b2dd864b4f3caaddcb7f042d0_max_476x317.jpeg,37,1,0,Apartment,2,2,2026-04-23T00:00:00Z,new,,False,False,False,51.51157,-0.22258,An impeccable 2 double bedroom apartment set in White City Living within the heart of Shepherds Bush. The property is located close to the Westfield Shopping Centre and 2-minutes walk from White City & Wood Lane underground stations. EPC-B,True,7,0
173104889,3750,pcm,"£3,750 pcm",3750,865,"Cassini Apartments, Cascade Way, London, W12",,https://www.rightmove.co.uk/properties/173104889,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/b0086e695/173104889/b0086e6952d81d049612a95a5c34b1f3_max_476x317.jpeg,24,0,0,Apartment,2,2,2026-05-15T00:00:00Z,price_reduced,,False,False,False,51.511826,-0.221964,"Luxury two bedroom apartment located in Cassini Tower, White City Living. Situated on the 10th floor, this apartment boasts just under 900sqft internally with a 140sqft private wrap around balcony. White City Living is the highly-anticipated next chapter of the White City W12 regenerat...",True,8,0
173120645,2600,pcm,"£2,600 pcm",2600,600,"Westmont Apts, White City Living, W12",,https://www.rightmove.co.uk/properties/173120645,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/0bc877de4/173120645/0bc877de4443f201d2169d9b40bc9c19_max_476x317.jpeg,9,1,0,Apartment,1,1,2026-03-24T00:00:00Z,price_reduced,,True,False,False,51.510981,-0.22385,24 Hr Concierge | Communal Gardens | Residents' Swimming Pool | Gym | Meeting Room | Resident's Lounge & Cineplex | Air Ventilation | Underfloor Heating | Air Conditioning | Double Glazed Windows,False,9,0
173510861,3000,pcm,"£3,000 pcm",3000,692,"Cascade Way, London, W12",,https://www.rightmove.co.uk/properties/173510861,https://media.rightmove.co.uk/dir/crop/10:9-16:9/property-photo/53a5e06ab/173510861/53a5e06ab53301d5d0bfbcd7658f00c2_max_476x317.jpeg,17,1,0,Flat,1,1,2026-03-20T00:00:00Z,new,,False,False,False,51.51174,-0.22157,"This apartment features one bedroom, one living room, one kitchen, one bathroom, and a balcony. It has wooden flooring throughout. The open-plan kitchen is spacious and bright, and the floor-to-ceiling windows allow plenty of natural light.",False,10,0
